layer,arm_a,arm_b,n,d_acts,d_acts_p,d_floor,d_floor_p,gain,gain_lo,gain_hi,gain_p,clears,in_window
29,enact,neutral,24,2.1404,0.0,0.2406,0.0124,1.8999,-0.8041,0.8072,0.0,1,0
29,report,exit,24,-0.7089,0.0002,-0.2856,0.0,-0.4233,-0.3436,0.3349,0.0084,1,0
29,report,neutral,24,1.8037,0.0,0.1866,0.0314,1.6171,-0.6998,0.7327,0.0,1,0
29,exit,neutral,24,2.5126,0.0,0.4722,0.0002,2.0404,-0.8441,0.8369,0.0,1,0
29,true,neutral,24,1.475,0.0,0.391,0.0002,1.084,-0.4752,0.4898,0.0,1,0
29,enact,enact_norecord,24,1.4896,0.0,-0.4973,0.0006,1.987,-0.9074,0.8566,0.0,1,0
29,enact_norecord,neutral,24,0.6508,0.0002,0.7379,0.0004,-0.0871,-0.3642,0.3614,0.6476,0,0
30,enact,report,24,0.0425,0.7668,0.054,0.0004,-0.0115,-0.2653,0.2679,0.9354,0,0
30,enact,exit,24,-0.6358,0.0,-0.2317,0.0,-0.4041,-0.2316,0.2345,0.0,1,0
30,enact,true,24,0.322,0.0452,-0.1504,0.0194,0.4725,-0.3741,0.3756,0.0128,1,0
30,enact,neutral,24,1.725,0.0,0.2406,0.0082,1.4844,-0.6789,0.6875,0.0,1,0
30,report,exit,24,-0.6783,0.0,-0.2856,0.0,-0.3926,-0.3154,0.3198,0.0148,1,0
30,report,neutral,24,1.6825,0.0,0.1866,0.0296,1.4959,-0.6864,0.6988,0.0,1,0
30,exit,neutral,24,2.3608,0.0,0.4722,0.0,1.8885,-0.7868,0.7876,0.0,1,0
30,true,neutral,24,1.4029,0.0,0.391,0.0002,1.0119,-0.4966,0.5082,0.0,1,0
30,enact,enact_norecord,24,1.6014,0.0,-0.4973,0.0006,2.0988,-0.9172,0.8854,0.0,1,0
30,enact_norecord,neutral,24,0.1235,0.413,0.7379,0.0002,-0.6144,-0.4268,0.4148,0.0026,1,0
31,enact,report,24,0.1032,0.5072,0.054,0.0002,0.0492,-0.302,0.3073,0.7604,0,0
31,enact,exit,24,-0.4662,0.0,-0.2317,0.0,-0.2345,-0.171,0.1776,0.0056,1,0
31,enact,true,24,0.3281,0.0748,-0.1504,0.013,0.4786,-0.4075,0.396,0.0178,1,0
31,enact,neutral,24,2.0999,0.0,0.2406,0.0094,1.8593,-0.8089,0.7921,0.0,1,0
31,report,exit,24,-0.5693,0.0024,-0.2856,0.0,-0.2837,-0.3199,0.3471,0.0984,0,0
31,report,neutral,24,1.9967,0.0,0.1866,0.0372,1.8101,-0.8157,0.8276,0.0,1,0
31,exit,neutral,24,2.566,0.0,0.4722,0.0,2.0938,-0.8774,0.8904,0.0,1,0
31,true,neutral,24,1.7717,0.0,0.391,0.0,1.3807,-0.6204,0.6256,0.0,1,0
31,enact,enact_norecord,24,1.9012,0.0,-0.4973,0.001,2.3985,-0.9741,0.9892,0.0,1,0
31,enact_norecord,neutral,24,0.1987,0.1898,0.7379,0.0002,-0.5392,-0.3798,0.3805,0.0032,1,0
32,enact,report,24,0.0817,0.5646,0.054,0.0004,0.0278,-0.2725,0.2693,0.8458,0,0
32,enact,exit,24,-0.3144,0.0,-0.2317,0.0,-0.0827,-0.1497,0.1502,0.3158,0,0
32,enact,true,24,0.5276,0.0114,-0.1504,0.0168,0.6781,-0.4817,0.4704,0.0046,1,0
32,enact,neutral,24,2.0418,0.0,0.2406,0.011,1.8013,-0.7821,0.7736,0.0,1,0
32,report,exit,24,-0.3961,0.0186,-0.2856,0.0,-0.1105,-0.2898,0.2799,0.4662,0,0
32,report,neutral,24,1.9601,0.0,0.1866,0.0352,1.7735,-0.76,0.7932,0.0,1,0
32,exit,neutral,24,2.3562,0.0,0.4722,0.0,1.884,-0.784,0.7685,0.0,1,0
32,true,neutral,24,1.5142,0.0,0.391,0.0,1.1232,-0.5246,0.5399,0.0,1,0
32,enact,enact_norecord,24,1.5202,0.0,-0.4973,0.0004,2.0176,-0.8576,0.8851,0.0,1,0
32,enact_norecord,neutral,24,0.5216,0.003,0.7379,0.0004,-0.2163,-0.3186,0.3062,0.1792,0,0
33,enact,report,24,0.131,0.3454,0.054,0.0004,0.077,-0.2687,0.2705,0.583,0,0
33,enact,exit,24,-0.4279,0.0,-0.2317,0.0,-0.1962,-0.1734,0.1773,0.0266,1,0
33,enact,true,24,0.6839,0.0028,-0.1504,0.014,0.8343,-0.5319,0.5447,0.0016,1,0
33,enact,neutral,24,1.9179,0.0,0.2406,0.0094,1.6773,-0.7636,0.7613,0.0,1,0
33,report,exit,24,-0.5589,0.0002,-0.2856,0.0,-0.2733,-0.3006,0.3084,0.0836,0,0
33,report,neutral,24,1.7869,0.0,0.1866,0.032,1.6003,-0.6878,0.7072,0.0,1,0
33,exit,neutral,24,2.3458,0.0,0.4722,0.0,1.8735,-0.7956,0.7796,0.0,1,0
33,true,neutral,24,1.234,0.0,0.391,0.0,0.843,-0.4611,0.4923,0.0006,1,0
33,enact,enact_norecord,24,1.5892,0.0,-0.4973,0.0008,2.0865,-0.9412,0.8941,0.0,1,0
33,enact_norecord,neutral,24,0.3287,0.0566,0.7379,0.0,-0.4092,-0.3681,0.3656,0.0246,1,0
34,enact,report,24,0.0823,0.525,0.054,0.0006,0.0284,-0.2393,0.2385,0.826,0,0
34,enact,exit,24,-0.357,0.0,-0.2317,0.0,-0.1253,-0.1767,0.1768,0.1822,0,0
34,enact,true,24,0.6506,0.0012,-0.1504,0.0162,0.801,-0.4897,0.4955,0.0006,1,0
34,enact,neutral,24,1.7714,0.0,0.2406,0.0096,1.5309,-0.6845,0.6864,0.0,1,0
34,report,exit,24,-0.4393,0.0052,-0.2856,0.0,-0.1536,-0.2865,0.2759,0.3016,0,0
34,report,neutral,24,1.6891,0.0,0.1866,0.032,1.5025,-0.6875,0.6919,0.0,1,0
34,exit,neutral,24,2.1284,0.0,0.4722,0.0,1.6562,-0.7085,0.684,0.0,1,0
34,true,neutral,24,1.1209,0.0,0.391,0.0,0.7299,-0.4191,0.4205,0.0002,1,0
34,enact,enact_norecord,24,1.3101,0.0,-0.4973,0.0,1.8074,-0.8055,0.8459,0.0,1,0
34,enact_norecord,neutral,24,0.4613,0.0036,0.7379,0.0004,-0.2765,-0.3214,0.3293,0.107,0,0
35,enact,report,24,-0.0328,0.7748,0.054,0.0004,-0.0868,-0.2265,0.2221,0.4688,0,0
35,enact,exit,24,-0.383,0.0,-0.2317,0.0,-0.1513,-0.1667,0.1638,0.0836,0,0
35,enact,true,24,0.5167,0.0104,-0.1504,0.0114,0.6671,-0.4351,0.453,0.0024,1,0
35,enact,neutral,24,1.6799,0.0,0.2406,0.0084,1.4393,-0.6597,0.6743,0.0,1,0
35,report,exit,24,-0.3502,0.0082,-0.2856,0.0,-0.0645,-0.2255,0.234,0.589,0,0
35,report,neutral,24,1.7127,0.0,0.1866,0.0324,1.5261,-0.6951,0.6732,0.0,1,0
35,exit,neutral,24,2.0629,0.0,0.4722,0.0,1.5907,-0.6665,0.6629,0.0,1,0
35,true,neutral,24,1.1632,0.0,0.391,0.0,0.7722,-0.4285,0.4478,0.0002,1,0
35,enact,enact_norecord,24,1.4859,0.0,-0.4973,0.0,1.9833,-0.8783,0.8978,0.0,1,0
35,enact_norecord,neutral,24,0.194,0.1362,0.7379,0.0004,-0.5439,-0.3836,0.3783,0.0038,1,0
36,enact,report,24,-0.0623,0.592,0.054,0.0006,-0.1163,-0.2221,0.2317,0.3208,0,0
36,enact,exit,24,-0.3048,0.0,-0.2317,0.0,-0.0732,-0.1599,0.1546,0.3778,0,0
36,enact,true,24,0.5439,0.0034,-0.1504,0.0184,0.6943,-0.4346,0.4314,0.001,1,0
36,enact,neutral,24,1.5519,0.0,0.2406,0.0104,1.3113,-0.5999,0.5869,0.0,1,0
36,report,exit,24,-0.2425,0.0576,-0.2856,0.0,0.0431,-0.227,0.2197,0.7164,0,0
36,report,neutral,24,1.6142,0.0,0.1866,0.032,1.4276,-0.6486,0.629,0.0,1,0
36,exit,neutral,24,1.8567,0.0,0.4722,0.0,1.3845,-0.6058,0.5837,0.0,1,0
36,true,neutral,24,1.008,0.0,0.391,0.0,0.617,-0.4013,0.4,0.0012,1,0
36,enact,enact_norecord,24,1.1828,0.0,-0.4973,0.0012,1.6801,-0.743,0.7719,0.0,1,0
36,enact_norecord,neutral,24,0.3691,0.0104,0.7379,0.0002,-0.3688,-0.3547,0.3587,0.042,1,0
37,enact,report,24,-0.0032,0.9756,0.054,0.0004,-0.0572,-0.2059,0.2033,0.6102,0,0
37,enact,exit,24,-0.2441,0.0002,-0.2317,0.0,-0.0124,-0.1663,0.1672,0.8916,0,0
37,enact,true,24,0.4302,0.0192,-0.1504,0.0156,0.5806,-0.4053,0.4096,0.0038,1,0
37,enact,neutral,24,1.806,0.0,0.2406,0.0082,1.5655,-0.6928,0.6843,0.0,1,0
37,report,exit,24,-0.2409,0.0384,-0.2856,0.0,0.0447,-0.2062,0.2109,0.6998,0,0
37,report,neutral,24,1.8092,0.0,0.1866,0.0352,1.6226,-0.6978,0.6959,0.0,1,0
37,exit,neutral,24,2.0501,0.0,0.4722,0.0002,1.5779,-0.6588,0.6739,0.0,1,0
37,true,neutral,24,1.3759,0.0,0.391,0.0002,0.9849,-0.5267,0.5234,0.0002,1,0
37,enact,enact_norecord,24,1.2783,0.0,-0.4973,0.0006,1.7756,-0.7777,0.7845,0.0,1,0
37,enact_norecord,neutral,24,0.5277,0.0,0.7379,0.0004,-0.2101,-0.3497,0.3469,0.246,0,0
38,enact,report,24,0.0084,0.9198,0.054,0.001,-0.0455,-0.1715,0.1794,0.6198,0,0
38,enact,exit,24,-0.2116,0.0006,-0.2317,0.0,0.0201,-0.1511,0.1531,0.7994,0,0
38,enact,true,24,0.1982,0.1788,-0.1504,0.0174,0.3486,-0.3139,0.3138,0.0324,1,0
38,enact,neutral,24,1.5747,0.0,0.2406,0.0074,1.3341,-0.5823,0.6048,0.0,1,0
38,report,exit,24,-0.22,0.0278,-0.2856,0.0,0.0657,-0.1928,0.1842,0.5158,0,0
38,report,neutral,24,1.5663,0.0,0.1866,0.0312,1.3797,-0.6031,0.6043,0.0,1,0
38,exit,neutral,24,1.7863,0.0,0.4722,0.0,1.314,-0.5656,0.5839,0.0,1,0
38,true,neutral,24,1.3765,0.0,0.391,0.0,0.9855,-0.5309,0.5189,0.0002,1,0
38,enact,enact_norecord,24,1.0191,0.0,-0.4973,0.0012,1.5164,-0.6623,0.6863,0.0,1,0
38,enact_norecord,neutral,24,0.5556,0.002,0.7379,0.0006,-0.1823,-0.3482,0.3452,0.3142,0,0
39,enact,report,24,0.0042,0.9552,0.054,0.0002,-0.0498,-0.1514,0.1486,0.5388,0,0
39,enact,exit,24,-0.1664,0.0186,-0.2317,0.0,0.0653,-0.1585,0.1552,0.4482,0,0
39,enact,true,24,0.2338,0.0644,-0.1504,0.014,0.3842,-0.3011,0.3185,0.0144,1,0
39,enact,neutral,24,1.2267,0.0,0.2406,0.0098,0.9862,-0.4723,0.4714,0.0,1,0
39,report,exit,24,-0.1706,0.0968,-0.2856,0.0,0.115,-0.1897,0.1957,0.2632,0,0
39,report,neutral,24,1.2225,0.0,0.1866,0.0368,1.0359,-0.4649,0.4639,0.0,1,0
39,exit,neutral,24,1.3931,0.0,0.4722,0.0002,0.9209,-0.4448,0.435,0.0,1,0
39,true,neutral,24,0.9929,0.0,0.391,0.0,0.6019,-0.389,0.3819,0.0026,1,0
39,enact,enact_norecord,24,0.8771,0.0,-0.4973,0.0002,1.3745,-0.6053,0.619,0.0,1,0
39,enact_norecord,neutral,24,0.3496,0.0142,0.7379,0.0,-0.3883,-0.3899,0.3755,0.0466,1,0
40,enact,report,24,0.0484,0.5572,0.054,0.0012,-0.0056,-0.1399,0.1402,0.9464,0,0
40,enact,exit,24,-0.1704,0.0022,-0.2317,0.0,0.0613,-0.1428,0.1397,0.42,0,0
40,enact,true,24,0.1271,0.173,-0.1504,0.0172,0.2775,-0.2405,0.2466,0.0222,1,0
40,enact,neutral,24,0.9981,0.0,0.2406,0.012,0.7576,-0.398,0.4005,0.0,1,0
40,report,exit,24,-0.2187,0.0154,-0.2856,0.0,0.0669,-0.1742,0.1757,0.4694,0,0
40,report,neutral,24,0.9498,0.0,0.1866,0.0324,0.7632,-0.3836,0.3903,0.0,1,0
40,exit,neutral,24,1.1685,0.0,0.4722,0.0,0.6963,-0.3828,0.3775,0.0,1,0
40,true,neutral,24,0.871,0.0,0.391,0.0,0.48,-0.3452,0.3438,0.0054,1,0
40,enact,enact_norecord,24,0.4544,0.0,-0.4973,0.0002,0.9517,-0.4691,0.4695,0.0,1,0
40,enact_norecord,neutral,24,0.5437,0.0006,0.7379,0.0002,-0.1942,-0.3522,0.3539,0.2906,0,0
41,enact,report,24,0.2885,0.0,0.054,0.0002,0.2345,-0.1673,0.1643,0.004,1,0
41,enact,exit,24,-0.3637,0.0,-0.2317,0.0,-0.132,-0.1483,0.1464,0.0836,0,0
41,enact,true,24,-0.07,0.4138,-0.1504,0.0158,0.0804,-0.2134,0.2134,0.463,0,0
41,enact,neutral,24,0.7372,0.0,0.2406,0.0096,0.4966,-0.3151,0.32,0.0008,1,0
41,report,exit,24,-0.6522,0.0,-0.2856,0.0,-0.3665,-0.2203,0.2277,0.0,1,0
41,report,neutral,24,0.4487,0.0046,0.1866,0.0312,0.2621,-0.2808,0.2787,0.0676,0,0
41,exit,neutral,24,1.1008,0.0,0.4722,0.0,0.6286,-0.3806,0.3807,0.0006,1,0
41,true,neutral,24,0.8072,0.0,0.391,0.0,0.4162,-0.3503,0.3456,0.0142,1,0
41,enact,enact_norecord,24,0.1728,0.1268,-0.4973,0.0006,0.6701,-0.3958,0.3728,0.0002,1,0
41,enact_norecord,neutral,24,0.5644,0.0022,0.7379,0.0008,-0.1735,-0.3729,0.3697,0.3746,0,0
